Name,Date & Time,Location,Type,Region,Latitude,Longitude,weather,temperature,wind_speed,wind_direction
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown,47.61175385,-122.33156275066185,Rain,53,9 mph,S
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,9 mph,S
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,9 mph,S
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,Rain,53,9 mph,S
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,9 mph,S
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,,,Rain,53,9 mph,S
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,,,Rain,53,9 mph,S
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,9 mph,S
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,9 mph,S
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,Rain,52,9 mph,S
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,47.6240043,-122.3494506540469,Rain,53,9 mph,S
Wreckno,2/23/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Rain,52,8 mph,S
